annee_de_deces;departement_de_domicile;sexe;cause_initiale_de_deces;effectif_de_deces
2016;46;Hommes;2. Tumeurs;356
2017;46;Hommes;2. Tumeurs;318
2018;46;Hommes;2. Tumeurs;313
2019;46;Hommes;2. Tumeurs;341
2020;46;Hommes;2. Tumeurs;328
2021;46;Hommes;2. Tumeurs;352
2022;46;Hommes;2. Tumeurs;335
1990;47;Hommes;2. Tumeurs;539
1991;47;Hommes;2. Tumeurs;540
1992;47;Hommes;2. Tumeurs;499
1993;47;Hommes;2. Tumeurs;558
1994;47;Hommes;2. Tumeurs;518
1995;47;Hommes;2. Tumeurs;520
1996;47;Hommes;2. Tumeurs;510
1997;47;Hommes;2. Tumeurs;533
1998;47;Hommes;2. Tumeurs;522
1999;47;Hommes;2. Tumeurs;545
2000;47;Hommes;2. Tumeurs;558
2001;47;Hommes;2. Tumeurs;594
2002;47;Hommes;2. Tumeurs;541
2003;47;Hommes;2. Tumeurs;560
2004;47;Hommes;2. Tumeurs;517
2005;47;Hommes;2. Tumeurs;532
2006;47;Hommes;2. Tumeurs;570
2007;47;Hommes;2. Tumeurs;602
2008;47;Hommes;2. Tumeurs;613
2009;47;Hommes;2. Tumeurs;585
2010;47;Hommes;2. Tumeurs;571
2011;47;Hommes;2. Tumeurs;540
2012;47;Hommes;2. Tumeurs;588
2013;47;Hommes;2. Tumeurs;575
2014;47;Hommes;2. Tumeurs;647
2015;47;Hommes;2. Tumeurs;614
2016;47;Hommes;2. Tumeurs;600
2017;47;Hommes;2. Tumeurs;625
2018;47;Hommes;2. Tumeurs;634
2019;47;Hommes;2. Tumeurs;635
2020;47;Hommes;2. Tumeurs;665
2021;47;Hommes;2. Tumeurs;634
2022;47;Hommes;2. Tumeurs;565
1990;48;Hommes;2. Tumeurs;132
1991;48;Hommes;2. Tumeurs;145
1992;48;Hommes;2. Tumeurs;151
1993;48;Hommes;2. Tumeurs;131
1994;48;Hommes;2. Tumeurs;141
1995;48;Hommes;2. Tumeurs;137
1996;48;Hommes;2. Tumeurs;130
1997;48;Hommes;2. Tumeurs;136
1998;48;Hommes;2. Tumeurs;160
1999;48;Hommes;2. Tumeurs;116
2000;48;Hommes;2. Tumeurs;149
2001;48;Hommes;2. Tumeurs;139
2002;48;Hommes;2. Tumeurs;147
2003;48;Hommes;2. Tumeurs;145
2004;48;Hommes;2. Tumeurs;176
2005;48;Hommes;2. Tumeurs;163
2006;48;Hommes;2. Tumeurs;145
2007;48;Hommes;2. Tumeurs;150
2008;48;Hommes;2. Tumeurs;150
2009;48;Hommes;2. Tumeurs;131
2010;48;Hommes;2. Tumeurs;146
2011;48;Hommes;2. Tumeurs;154
2012;48;Hommes;2. Tumeurs;126
2013;48;Hommes;2. Tumeurs;140
2014;48;Hommes;2. Tumeurs;159
2015;48;Hommes;2. Tumeurs;174
2016;48;Hommes;2. Tumeurs;153
2017;48;Hommes;2. Tumeurs;152
2018;48;Hommes;2. Tumeurs;138
2019;48;Hommes;2. Tumeurs;158
2020;48;Hommes;2. Tumeurs;146
2021;48;Hommes;2. Tumeurs;146
2022;48;Hommes;2. Tumeurs;142
1990;49;Hommes;2. Tumeurs;913
1991;49;Hommes;2. Tumeurs;944
1992;49;Hommes;2. Tumeurs;992
1993;49;Hommes;2. Tumeurs;951
1994;49;Hommes;2. Tumeurs;1002
1995;49;Hommes;2. Tumeurs;1005
1996;49;Hommes;2. Tumeurs;1065
1997;49;Hommes;2. Tumeurs;1039
1998;49;Hommes;2. Tumeurs;1068
1999;49;Hommes;2. Tumeurs;1030
2000;49;Hommes;2. Tumeurs;1068
2001;49;Hommes;2. Tumeurs;1118
2002;49;Hommes;2. Tumeurs;1166
2003;49;Hommes;2. Tumeurs;1063
2004;49;Hommes;2. Tumeurs;1082
2005;49;Hommes;2. Tumeurs;1097
2006;49;Hommes;2. Tumeurs;1094
2007;49;Hommes;2. Tumeurs;1124
2008;49;Hommes;2. Tumeurs;1137
2009;49;Hommes;2. Tumeurs;1109
2010;49;Hommes;2. Tumeurs;1187
2011;49;Hommes;2. Tumeurs;1102
2012;49;Hommes;2. Tumeurs;1115
2013;49;Hommes;2. Tumeurs;1146
2014;49;Hommes;2. Tumeurs;1138
2015;49;Hommes;2. Tumeurs;1216
2016;49;Hommes;2. Tumeurs;1205
2017;49;Hommes;2. Tumeurs;1151
2018;49;Hommes;2. Tumeurs;1149
2019;49;Hommes;2. Tumeurs;1198
2020;49;Hommes;2. Tumeurs;1164
2021;49;Hommes;2. Tumeurs;1144
2022;49;Hommes;2. Tumeurs;1170
1990;50;Hommes;2. Tumeurs;779
1991;50;Hommes;2. Tumeurs;765
1992;50;Hommes;2. Tumeurs;772
1993;50;Hommes;2. Tumeurs;825
1994;50;Hommes;2. Tumeurs;798
1995;50;Hommes;2. Tumeurs;853
1996;50;Hommes;2. Tumeurs;837
1997;50;Hommes;2. Tumeurs;875
1998;50;Hommes;2. Tumeurs;848
1999;50;Hommes;2. Tumeurs;841
2000;50;Hommes;2. Tumeurs;859
2001;50;Hommes;2. Tumeurs;862
2002;50;Hommes;2. Tumeurs;834
2003;50;Hommes;2. Tumeurs;897
2004;50;Hommes;2. Tumeurs;854
2005;50;Hommes;2. Tumeurs;858
2006;50;Hommes;2. Tumeurs;851
2007;50;Hommes;2. Tumeurs;880
2008;50;Hommes;2. Tumeurs;866
2009;50;Hommes;2. Tumeurs;921
2010;50;Hommes;2. Tumeurs;904
2011;50;Hommes;2. Tumeurs;893
2012;50;Hommes;2. Tumeurs;940
2013;50;Hommes;2. Tumeurs;933
2014;50;Hommes;2. Tumeurs;875
2015;50;Hommes;2. Tumeurs;961
2016;50;Hommes;2. Tumeurs;916
2017;50;Hommes;2. Tumeurs;891
2018;50;Hommes;2. Tumeurs;951
2019;50;Hommes;2. Tumeurs;935
2020;50;Hommes;2. Tumeurs;982
2021;50;Hommes;2. Tumeurs;968
2022;50;Hommes;2. Tumeurs;968
1990;51;Hommes;2. Tumeurs;811
1991;51;Hommes;2. Tumeurs;809
1992;51;Hommes;2. Tumeurs;835
1993;51;Hommes;2. Tumeurs;868
1994;51;Hommes;2. Tumeurs;775
1995;51;Hommes;2. Tumeurs;863
1996;51;Hommes;2. Tumeurs;792
1997;51;Hommes;2. Tumeurs;789
1998;51;Hommes;2. Tumeurs;846
1999;51;Hommes;2. Tumeurs;806
2000;51;Hommes;2. Tumeurs;807
2001;51;Hommes;2. Tumeurs;808
2002;51;Hommes;2. Tumeurs;836
2003;51;Hommes;2. Tumeurs;823
2004;51;Hommes;2. Tumeurs;828
2005;51;Hommes;2. Tumeurs;856
2006;51;Hommes;2. Tumeurs;865
2007;51;Hommes;2. Tumeurs;867
2008;51;Hommes;2. Tumeurs;805
2009;51;Hommes;2. Tumeurs;869
2010;51;Hommes;2. Tumeurs;880
2011;51;Hommes;2. Tumeurs;854
2012;51;Hommes;2. Tumeurs;866
2013;51;Hommes;2. Tumeurs;844
2014;51;Hommes;2. Tumeurs;860
2015;51;Hommes;2. Tumeurs;897
2016;51;Hommes;2. Tumeurs;864
2017;51;Hommes;2. Tumeurs;855
2018;51;Hommes;2. Tumeurs;853
2019;51;Hommes;2. Tumeurs;804
2020;51;Hommes;2. Tumeurs;805
2021;51;Hommes;2. Tumeurs;732
2022;51;Hommes;2. Tumeurs;822
1990;52;Hommes;2. Tumeurs;340
1991;52;Hommes;2. Tumeurs;331
1992;52;Hommes;2. Tumeurs;369
1993;52;Hommes;2. Tumeurs;319
1994;52;Hommes;2. Tumeurs;350
1995;52;Hommes;2. Tumeurs;335
1996;52;Hommes;2. Tumeurs;344
1997;52;Hommes;2. Tumeurs;339
1998;52;Hommes;2. Tumeurs;355
1999;52;Hommes;2. Tumeurs;358
2000;52;Hommes;2. Tumeurs;356
2001;52;Hommes;2. Tumeurs;378
2002;52;Hommes;2. Tumeurs;343
2003;52;Hommes;2. Tumeurs;354
2004;52;Hommes;2. Tumeurs;339
2005;52;Hommes;2. Tumeurs;328
2006;52;Hommes;2. Tumeurs;336
2007;52;Hommes;2. Tumeurs;378
2008;52;Hommes;2. Tumeurs;332
2009;52;Hommes;2. Tumeurs;361
2010;52;Hommes;2. Tumeurs;345
2011;52;Hommes;2. Tumeurs;301
2012;52;Hommes;2. Tumeurs;341
2013;52;Hommes;2. Tumeurs;346
2014;52;Hommes;2. Tumeurs;355
2015;52;Hommes;2. Tumeurs;321
2016;52;Hommes;2. Tumeurs;357
2017;52;Hommes;2. Tumeurs;359
2018;52;Hommes;2. Tumeurs;348
2019;52;Hommes;2. Tumeurs;334
2020;52;Hommes;2. Tumeurs;318
2021;52;Hommes;2. Tumeurs;328
2022;52;Hommes;2. Tumeurs;310
1990;53;Hommes;2. Tumeurs;381
1991;53;Hommes;2. Tumeurs;385
1992;53;Hommes;2. Tumeurs;432
1993;53;Hommes;2. Tumeurs;427
1994;53;Hommes;2. Tumeurs;379
1995;53;Hommes;2. Tumeurs;454
1996;53;Hommes;2. Tumeurs;407
1997;53;Hommes;2. Tumeurs;466
1998;53;Hommes;2. Tumeurs;396
1999;53;Hommes;2. Tumeurs;406
2000;53;Hommes;2. Tumeurs;430
2001;53;Hommes;2. Tumeurs;408
2002;53;Hommes;2. Tumeurs;452
2003;53;Hommes;2. Tumeurs;426
2004;53;Hommes;2. Tumeurs;426
2005;53;Hommes;2. Tumeurs;444
2006;53;Hommes;2. Tumeurs;473
2007;53;Hommes;2. Tumeurs;440
2008;53;Hommes;2. Tumeurs;437
2009;53;Hommes;2. Tumeurs;456
2010;53;Hommes;2. Tumeurs;491
2011;53;Hommes;2. Tumeurs;420
2012;53;Hommes;2. Tumeurs;484
2013;53;Hommes;2. Tumeurs;445
2014;53;Hommes;2. Tumeurs;467
2015;53;Hommes;2. Tumeurs;478
2016;53;Hommes;2. Tumeurs;511
2017;53;Hommes;2. Tumeurs;465
2018;53;Hommes;2. Tumeurs;461
2019;53;Hommes;2. Tumeurs;507
2020;53;Hommes;2. Tumeurs;504
2021;53;Hommes;2. Tumeurs;462
2022;53;Hommes;2. Tumeurs;508
1990;54;Hommes;2. Tumeurs;1106
1991;54;Hommes;2. Tumeurs;1088
1992;54;Hommes;2. Tumeurs;1119
1993;54;Hommes;2. Tumeurs;1117
1994;54;Hommes;2. Tumeurs;1075
1995;54;Hommes;2. Tumeurs;1073
1996;54;Hommes;2. Tumeurs;1104
1997;54;Hommes;2. Tumeurs;1087
1998;54;Hommes;2. Tumeurs;1117
1999;54;Hommes;2. Tumeurs;1067
2000;54;Hommes;2. Tumeurs;1123
2001;54;Hommes;2. Tumeurs;1056
2002;54;Hommes;2. Tumeurs;1113
2003;54;Hommes;2. Tumeurs;1102
2004;54;Hommes;2. Tumeurs;1115
2005;54;Hommes;2. Tumeurs;1125
2006;54;Hommes;2. Tumeurs;1100
2007;54;Hommes;2. Tumeurs;1158
2008;54;Hommes;2. Tumeurs;1110
2009;54;Hommes;2. Tumeurs;1111
2010;54;Hommes;2. Tumeurs;1173
2011;54;Hommes;2. Tumeurs;1066
2012;54;Hommes;2. Tumeurs;1134
2013;54;Hommes;2. Tumeurs;1069
2014;54;Hommes;2. Tumeurs;1080
2015;54;Hommes;2. Tumeurs;1110
2016;54;Hommes;2. Tumeurs;1141
2017;54;Hommes;2. Tumeurs;1151
2018;54;Hommes;2. Tumeurs;1063
2019;54;Hommes;2. Tumeurs;1049
2020;54;Hommes;2. Tumeurs;1076
2021;54;Hommes;2. Tumeurs;1108
2022;54;Hommes;2. Tumeurs;1074
1990;55;Hommes;2. Tumeurs;372
1991;55;Hommes;2. Tumeurs;345
1992;55;Hommes;2. Tumeurs;355
1993;55;Hommes;2. Tumeurs;358
1994;55;Hommes;2. Tumeurs;323
1995;55;Hommes;2. Tumeurs;351
1996;55;Hommes;2. Tumeurs;341
1997;55;Hommes;2. Tumeurs;304
1998;55;Hommes;2. Tumeurs;354
1999;55;Hommes;2. Tumeurs;324
2000;55;Hommes;2. Tumeurs;368
2001;55;Hommes;2. Tumeurs;339
2002;55;Hommes;2. Tumeurs;337
2003;55;Hommes;2. Tumeurs;348
2004;55;Hommes;2. Tumeurs;326
2005;55;Hommes;2. Tumeurs;332
2006;55;Hommes;2. Tumeurs;348
2007;55;Hommes;2. Tumeurs;317
2008;55;Hommes;2. Tumeurs;356
2009;55;Hommes;2. Tumeurs;341
2010;55;Hommes;2. Tumeurs;338
2011;55;Hommes;2. Tumeurs;354
2012;55;Hommes;2. Tumeurs;293
2013;55;Hommes;2. Tumeurs;344
2014;55;Hommes;2. Tumeurs;290
2015;55;Hommes;2. Tumeurs;331
2016;55;Hommes;2. Tumeurs;347
2017;55;Hommes;2. Tumeurs;347
2018;55;Hommes;2. Tumeurs;329
2019;55;Hommes;2. Tumeurs;334
2020;55;Hommes;2. Tumeurs;339
2021;55;Hommes;2. Tumeurs;315
2022;55;Hommes;2. Tumeurs;354
1990;56;Hommes;2. Tumeurs;1065
1991;56;Hommes;2. Tumeurs;1137
1992;56;Hommes;2. Tumeurs;1182
1993;56;Hommes;2. Tumeurs;1167
1994;56;Hommes;2. Tumeurs;1150
1995;56;Hommes;2. Tumeurs;1163
1996;56;Hommes;2. Tumeurs;1213
1997;56;Hommes;2. Tumeurs;1164
1998;56;Hommes;2. Tumeurs;1129
1999;56;Hommes;2. Tumeurs;1192
2000;56;Hommes;2. Tumeurs;1161
2001;56;Hommes;2. Tumeurs;1187
2002;56;Hommes;2. Tumeurs;1250
2003;56;Hommes;2. Tumeurs;1231
2004;56;Hommes;2. Tumeurs;1192
2005;56;Hommes;2. Tumeurs;1266
2006;56;Hommes;2. Tumeurs;1282
2007;56;Hommes;2. Tumeurs;1238
2008;56;Hommes;2. Tumeurs;1310
2009;56;Hommes;2. Tumeurs;1231
2010;56;Hommes;2. Tumeurs;1236
2011;56;Hommes;2. Tumeurs;1298
2012;56;Hommes;2. Tumeurs;1324
2013;56;Hommes;2. Tumeurs;1394
2014;56;Hommes;2. Tumeurs;1341
2015;56;Hommes;2. Tumeurs;1377
2016;56;Hommes;2. Tumeurs;1363
2017;56;Hommes;2. Tumeurs;1392
2018;56;Hommes;2. Tumeurs;1457
2019;56;Hommes;2. Tumeurs;1412
2020;56;Hommes;2. Tumeurs;1359
2021;56;Hommes;2. Tumeurs;1447
2022;56;Hommes;2. Tumeurs;1459
1990;57;Hommes;2. Tumeurs;1543
1991;57;Hommes;2. Tumeurs;1586
1992;57;Hommes;2. Tumeurs;1536
1993;57;Hommes;2. Tumeurs;1559
1994;57;Hommes;2. Tumeurs;1490
1995;57;Hommes;2. Tumeurs;1591
1996;57;Hommes;2. Tumeurs;1601
1997;57;Hommes;2. Tumeurs;1586
1998;57;Hommes;2. Tumeurs;1585
1999;57;Hommes;2. Tumeurs;1506
2000;57;Hommes;2. Tumeurs;1544
2001;57;Hommes;2. Tumeurs;1604
2002;57;Hommes;2. Tumeurs;1593
2003;57;Hommes;2. Tumeurs;1499
2004;57;Hommes;2. Tumeurs;1581
2005;57;Hommes;2. Tumeurs;1567
2006;57;Hommes;2. Tumeurs;1580
2007;57;Hommes;2. Tumeurs;1627
2008;57;Hommes;2. Tumeurs;1536
2009;57;Hommes;2. Tumeurs;1619
2010;57;Hommes;2. Tumeurs;1488
2011;57;Hommes;2. Tumeurs;1635
2012;57;Hommes;2. Tumeurs;1599
2013;57;Hommes;2. Tumeurs;1548
2014;57;Hommes;2. Tumeurs;1638
2015;57;Hommes;2. Tumeurs;1621
2016;57;Hommes;2. Tumeurs;1684
2017;57;Hommes;2. Tumeurs;1636
2018;57;Hommes;2. Tumeurs;1641
2019;57;Hommes;2. Tumeurs;1655
2020;57;Hommes;2. Tumeurs;1544
2021;57;Hommes;2. Tumeurs;1596
2022;57;Hommes;2. Tumeurs;1486
1990;58;Hommes;2. Tumeurs;520
1991;58;Hommes;2. Tumeurs;496
1992;58;Hommes;2. Tumeurs;530
1993;58;Hommes;2. Tumeurs;535
1994;58;Hommes;2. Tumeurs;528
1995;58;Hommes;2. Tumeurs;492
1996;58;Hommes;2. Tumeurs;514
1997;58;Hommes;2. Tumeurs;553
1998;58;Hommes;2. Tumeurs;554
1999;58;Hommes;2. Tumeurs;491
2000;58;Hommes;2. Tumeurs;530
2001;58;Hommes;2. Tumeurs;527
2002;58;Hommes;2. Tumeurs;527
2003;58;Hommes;2. Tumeurs;495
2004;58;Hommes;2. Tumeurs;501
2005;58;Hommes;2. Tumeurs;547
2006;58;Hommes;2. Tumeurs;528
2007;58;Hommes;2. Tumeurs;497
2008;58;Hommes;2. Tumeurs;483
2009;58;Hommes;2. Tumeurs;541
2010;58;Hommes;2. Tumeurs;522
2011;58;Hommes;2. Tumeurs;539
2012;58;Hommes;2. Tumeurs;486
2013;58;Hommes;2. Tumeurs;500
2014;58;Hommes;2. Tumeurs;503
2015;58;Hommes;2. Tumeurs;468
2016;58;Hommes;2. Tumeurs;486
2017;58;Hommes;2. Tumeurs;517
2018;58;Hommes;2. Tumeurs;496
2019;58;Hommes;2. Tumeurs;480
2020;58;Hommes;2. Tumeurs;482
2021;58;Hommes;2. Tumeurs;464
2022;58;Hommes;2. Tumeurs;457
1990;59;Hommes;2. Tumeurs;3908
1991;59;Hommes;2. Tumeurs;3997
1992;59;Hommes;2. Tumeurs;4147
1993;59;Hommes;2. Tumeurs;4082
1994;59;Hommes;2. Tumeurs;3978
1995;59;Hommes;2. Tumeurs;3972
1996;59;Hommes;2. Tumeurs;3914
1997;59;Hommes;2. Tumeurs;3979
1998;59;Hommes;2. Tumeurs;4012
1999;59;Hommes;2. Tumeurs;3982
2000;59;Hommes;2. Tumeurs;3967
2001;59;Hommes;2. Tumeurs;3849
2002;59;Hommes;2. Tumeurs;4034
2003;59;Hommes;2. Tumeurs;3908
2004;59;Hommes;2. Tumeurs;3905
2005;59;Hommes;2. Tumeurs;4013
2006;59;Hommes;2. Tumeurs;4037
2007;59;Hommes;2. Tumeurs;4006
2008;59;Hommes;2. Tumeurs;3839
2009;59;Hommes;2. Tumeurs;3826
2010;59;Hommes;2. Tumeurs;3952
2011;59;Hommes;2. Tumeurs;3928
2012;59;Hommes;2. Tumeurs;3721
2013;59;Hommes;2. Tumeurs;3755
2014;59;Hommes;2. Tumeurs;3704
2015;59;Hommes;2. Tumeurs;3794
2016;59;Hommes;2. Tumeurs;3842
2017;59;Hommes;2. Tumeurs;3787
2018;59;Hommes;2. Tumeurs;3600
2019;59;Hommes;2. Tumeurs;3678
2020;59;Hommes;2. Tumeurs;3619
2021;59;Hommes;2. Tumeurs;3680
2022;59;Hommes;2. Tumeurs;3613
1990;60;Hommes;2. Tumeurs;917
1991;60;Hommes;2. Tumeurs;972
1992;60;Hommes;2. Tumeurs;1010
1993;60;Hommes;2. Tumeurs;1044
1994;60;Hommes;2. Tumeurs;988
1995;60;Hommes;2. Tumeurs;1023
1996;60;Hommes;2. Tumeurs;1029
1997;60;Hommes;2. Tumeurs;989
1998;60;Hommes;2. Tumeurs;991
1999;60;Hommes;2. Tumeurs;1060
2000;60;Hommes;2. Tumeurs;1044
2001;60;Hommes;2. Tumeurs;1021
2002;60;Hommes;2. Tumeurs;1056
2003;60;Hommes;2. Tumeurs;1071
2004;60;Hommes;2. Tumeurs;1095
2005;60;Hommes;2. Tumeurs;1115
2006;60;Hommes;2. Tumeurs;1033
2007;60;Hommes;2. Tumeurs;1075
2008;60;Hommes;2. Tumeurs;1126
2009;60;Hommes;2. Tumeurs;1094
2010;60;Hommes;2. Tumeurs;1102
2011;60;Hommes;2. Tumeurs;1088
2012;60;Hommes;2. Tumeurs;1085
2013;60;Hommes;2. Tumeurs;1083
2014;60;Hommes;2. Tumeurs;1098
2015;60;Hommes;2. Tumeurs;1147
2016;60;Hommes;2. Tumeurs;1149
2017;60;Hommes;2. Tumeurs;1078
2018;60;Hommes;2. Tumeurs;1165
2019;60;Hommes;2. Tumeurs;1095
2020;60;Hommes;2. Tumeurs;1087
2021;60;Hommes;2. Tumeurs;1031
2022;60;Hommes;2. Tumeurs;1055
1990;61;Hommes;2. Tumeurs;448
1991;61;Hommes;2. Tumeurs;487
1992;61;Hommes;2. Tumeurs;486
1993;61;Hommes;2. Tumeurs;468
1994;61;Hommes;2. Tumeurs;497
1995;61;Hommes;2. Tumeurs;477
1996;61;Hommes;2. Tumeurs;458
1997;61;Hommes;2. Tumeurs;514
1998;61;Hommes;2. Tumeurs;541
1999;61;Hommes;2. Tumeurs;473
2000;61;Hommes;2. Tumeurs;516
2001;61;Hommes;2. Tumeurs;477
2002;61;Hommes;2. Tumeurs;536
2003;61;Hommes;2. Tumeurs;551
2004;61;Hommes;2. Tumeurs;510
2005;61;Hommes;2. Tumeurs;497
2006;61;Hommes;2. Tumeurs;517
2007;61;Hommes;2. Tumeurs;566
2008;61;Hommes;2. Tumeurs;521
2009;61;Hommes;2. Tumeurs;514
2010;61;Hommes;2. Tumeurs;490
2011;61;Hommes;2. Tumeurs;523
2012;61;Hommes;2. Tumeurs;537
2013;61;Hommes;2. Tumeurs;550
2014;61;Hommes;2. Tumeurs;509
2015;61;Hommes;2. Tumeurs;537
2016;61;Hommes;2. Tumeurs;547
2017;61;Hommes;2. Tumeurs;497
2018;61;Hommes;2. Tumeurs;543
2019;61;Hommes;2. Tumeurs;534
2020;61;Hommes;2. Tumeurs;536
2021;61;Hommes;2. Tumeurs;554
2022;61;Hommes;2. Tumeurs;554
1990;62;Hommes;2. Tumeurs;2381
1991;62;Hommes;2. Tumeurs;2279
1992;62;Hommes;2. Tumeurs;2294
1993;62;Hommes;2. Tumeurs;2439
1994;62;Hommes;2. Tumeurs;2473
1995;62;Hommes;2. Tumeurs;2400
1996;62;Hommes;2. Tumeurs;2428
1997;62;Hommes;2. Tumeurs;2437
1998;62;Hommes;2. Tumeurs;2485
1999;62;Hommes;2. Tumeurs;2396
2000;62;Hommes;2. Tumeurs;2393
2001;62;Hommes;2. Tumeurs;2395
2002;62;Hommes;2. Tumeurs;2451
2003;62;Hommes;2. Tumeurs;2505
2004;62;Hommes;2. Tumeurs;2423
2005;62;Hommes;2. Tumeurs;2500
2006;62;Hommes;2. Tumeurs;2496
2007;62;Hommes;2. Tumeurs;2581
2008;62;Hommes;2. Tumeurs;2493
2009;62;Hommes;2. Tumeurs;2505
2010;62;Hommes;2. Tumeurs;2512
2011;62;Hommes;2. Tumeurs;2468
2012;62;Hommes;2. Tumeurs;2541
2013;62;Hommes;2. Tumeurs;2576
2014;62;Hommes;2. Tumeurs;2476
2015;62;Hommes;2. Tumeurs;2470
2016;62;Hommes;2. Tumeurs;2535
2017;62;Hommes;2. Tumeurs;2357
2018;62;Hommes;2. Tumeurs;2535
2019;62;Hommes;2. Tumeurs;2350
2020;62;Hommes;2. Tumeurs;2439
2021;62;Hommes;2. Tumeurs;2382
2022;62;Hommes;2. Tumeurs;2395
1990;63;Hommes;2. Tumeurs;911
1991;63;Hommes;2. Tumeurs;876
1992;63;Hommes;2. Tumeurs;965
1993;63;Hommes;2. Tumeurs;955
1994;63;Hommes;2. Tumeurs;1033
1995;63;Hommes;2. Tumeurs;965
1996;63;Hommes;2. Tumeurs;1010
1997;63;Hommes;2. Tumeurs;973
1998;63;Hommes;2. Tumeurs;1012
1999;63;Hommes;2. Tumeurs;1042
2000;63;Hommes;2. Tumeurs;1012
2001;63;Hommes;2. Tumeurs;1021
2002;63;Hommes;2. Tumeurs;1026
2003;63;Hommes;2. Tumeurs;1037
2004;63;Hommes;2. Tumeurs;1059
2005;63;Hommes;2. Tumeurs;1040
2006;63;Hommes;2. Tumeurs;991
2007;63;Hommes;2. Tumeurs;1036
2008;63;Hommes;2. Tumeurs;1085
2009;63;Hommes;2. Tumeurs;1076
2010;63;Hommes;2. Tumeurs;891
2011;63;Hommes;2. Tumeurs;918
2012;63;Hommes;2. Tumeurs;1044
2013;63;Hommes;2. Tumeurs;996
2014;63;Hommes;2. Tumeurs;1006
2015;63;Hommes;2. Tumeurs;981
2016;63;Hommes;2. Tumeurs;991
2017;63;Hommes;2. Tumeurs;995
2018;63;Hommes;2. Tumeurs;1063
2019;63;Hommes;2. Tumeurs;1063
2020;63;Hommes;2. Tumeurs;1057
2021;63;Hommes;2. Tumeurs;1052
2022;63;Hommes;2. Tumeurs;1051
1990;64;Hommes;2. Tumeurs;888
1991;64;Hommes;2. Tumeurs;973
1992;64;Hommes;2. Tumeurs;920
1993;64;Hommes;2. Tumeurs;970
1994;64;Hommes;2. Tumeurs;931
1995;64;Hommes;2. Tumeurs;1009
1996;64;Hommes;2. Tumeurs;1020
1997;64;Hommes;2. Tumeurs;964
1998;64;Hommes;2. Tumeurs;1012
1999;64;Hommes;2. Tumeurs;925
2000;64;Hommes;2. Tumeurs;1029
2001;64;Hommes;2. Tumeurs;1061
2002;64;Hommes;2. Tumeurs;1007
2003;64;Hommes;2. Tumeurs;1062
2004;64;Hommes;2. Tumeurs;1017
2005;64;Hommes;2. Tumeurs;1037
2006;64;Hommes;2. Tumeurs;1103
2007;64;Hommes;2. Tumeurs;1002
2008;64;Hommes;2. Tumeurs;1070
2009;64;Hommes;2. Tumeurs;1053
2010;64;Hommes;2. Tumeurs;1062
2011;64;Hommes;2. Tumeurs;1128
2012;64;Hommes;2. Tumeurs;1063
2013;64;Hommes;2. Tumeurs;1147
2014;64;Hommes;2. Tumeurs;1089
2015;64;Hommes;2. Tumeurs;1108
2016;64;Hommes;2. Tumeurs;1107
2017;64;Hommes;2. Tumeurs;1160
2018;64;Hommes;2. Tumeurs;1129
2019;64;Hommes;2. Tumeurs;1108
2020;64;Hommes;2. Tumeurs;1124
2021;64;Hommes;2. Tumeurs;1098
2022;64;Hommes;2. Tumeurs;1079
1990;65;Hommes;2. Tumeurs;369
1991;65;Hommes;2. Tumeurs;376
1992;65;Hommes;2. Tumeurs;384
1993;65;Hommes;2. Tumeurs;407
1994;65;Hommes;2. Tumeurs;399
1995;65;Hommes;2. Tumeurs;434
1996;65;Hommes;2. Tumeurs;403
1997;65;Hommes;2. Tumeurs;430
1998;65;Hommes;2. Tumeurs;418
1999;65;Hommes;2. Tumeurs;399
2000;65;Hommes;2. Tumeurs;467
2001;65;Hommes;2. Tumeurs;428
2002;65;Hommes;2. Tumeurs;424
2003;65;Hommes;2. Tumeurs;431
2004;65;Hommes;2. Tumeurs;423
2005;65;Hommes;2. Tumeurs;438
2006;65;Hommes;2. Tumeurs;409
2007;65;Hommes;2. Tumeurs;429
2008;65;Hommes;2. Tumeurs;439
2009;65;Hommes;2. Tumeurs;407
2010;65;Hommes;2. Tumeurs;446
2011;65;Hommes;2. Tumeurs;429
2012;65;Hommes;2. Tumeurs;459
2013;65;Hommes;2. Tumeurs;442
2014;65;Hommes;2. Tumeurs;421
2015;65;Hommes;2. Tumeurs;445
2016;65;Hommes;2. Tumeurs;460
2017;65;Hommes;2. Tumeurs;452
2018;65;Hommes;2. Tumeurs;447
2019;65;Hommes;2. Tumeurs;424
2020;65;Hommes;2. Tumeurs;464
2021;65;Hommes;2. Tumeurs;413
2022;65;Hommes;2. Tumeurs;454
1990;66;Hommes;2. Tumeurs;683
1991;66;Hommes;2. Tumeurs;741
1992;66;Hommes;2. Tumeurs;706
1993;66;Hommes;2. Tumeurs;670
1994;66;Hommes;2. Tumeurs;684
1995;66;Hommes;2. Tumeurs;737
1996;66;Hommes;2. Tumeurs;693
1997;66;Hommes;2. Tumeurs;762
1998;66;Hommes;2. Tumeurs;718
1999;66;Hommes;2. Tumeurs;766
2000;66;Hommes;2. Tumeurs;785
2001;66;Hommes;2. Tumeurs;804
2002;66;Hommes;2. Tumeurs;788
2003;66;Hommes;2. Tumeurs;798
2004;66;Hommes;2. Tumeurs;801
2005;66;Hommes;2. Tumeurs;832
2006;66;Hommes;2. Tumeurs;831
